Location,Area,No. of Beds,No. of Baths,Price,Date Listed,Date Updated,Link,Image Link
Sample Location Name,6 Marla,3.0,3.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,7 Marla,4.0,4.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6 Marla,4.0,6.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,7 Marla,4.0,4.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 5 days ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 1 day ago,(Updated: 1 day ago),N/A,N/A
Sample Location Name,6 Marla,4.0,6.0,XXXXX,Added: 3 days ago,,N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 3 days ago,(Updated: 3 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 3 days ago,,N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 3 days ago,,N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 3 days ago,(Updated: 11 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,6.0,XXXXX,Added: 1 day ago,(Updated: 1 day ago),N/A,N/A
Sample Location Name,6 Marla,4.0,4.0,XXXXX,Added: 3 days ago,,N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 5 days ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,6.7 Marla,5.0,6.0,XXXXX,Added: 1 week ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,6.7 Marla,4.0,4.0,XXXXX,Added: 1 week ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 1 week ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 1 week ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 1 week ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5.6 Marla,3.0,4.0,XXXXX,Added: 1 week ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,6 Marla,4.0,4.0,XXXXX,Added: 1 week ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,12 Marla,6.0,6.0,XXXXX,Added: 1 week ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 1 week ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 1 week ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 1 week ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,6 Marla,4.0,6.0,XXXXX,Added: 1 week ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,8 Marla,6.0,6.0,XXXXX,Added: 1 week ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,6 Marla,4.0,4.0,XXXXX,Added: 2 weeks ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,12 Marla,6.0,6.0,XXXXX,Added: 2 weeks ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6.7 Marla,4.0,5.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,2.0,2.0,XXXXX,Added: 1 hour ago,,N/A,N/A
Sample Location Name,5 Marla,5.0,5.0,XXXXX,Added: 4 days ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,5 Marla,6.0,6.0,XXXXX,Added: 4 days ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,5 Marla,2.0,3.0,XXXXX,Added: 4 days ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,6 Marla,5.0,6.0,XXXXX,Added: 4 days ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6 Marla,2.0,2.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,2.0,2.0,XXXXX,Added: 4 days ago,(Updated: 9 hours ago),N/A,N/A
Sample Location Name,5.6 Marla,4.0,5.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5.6 Marla,3.0,4.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,6 Marla,3.0,3.0,XXXXX,Added: 2 weeks ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,6 Marla,3.0,4.0,XXXXX,Added: 2 weeks ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 3 weeks ago,(Updated: 3 days ago),N/A,N/A
Sample Location Name,6 Marla,4.0,4.0,XXXXX,Added: 3 weeks ago,(Updated: 4 days ago),N/A,N/A
Sample Location Name,11 Marla,6.0,6.0,XXXXX,Added: 3 weeks ago,(Updated: 4 days ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 3 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,6 Marla,4.0,4.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,8.5 Marla,6.0,6.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,6 Marla,3.0,4.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,5.5 Marla,3.0,4.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,5 Marla,2.0,3.0,XXXXX,Added: 5 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 4 days ago,(Updated: 1 hour ago),N/A,N/A
Sample Location Name,6 Marla,5.0,6.0,XXXXX,Added: 4 days ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,8 Marla,6.0,6.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,8 Marla,6.0,6.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,6 Marla,3.0,4.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,6 Marla,3.0,4.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 4 weeks ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,6 Marla,4.0,4.0,XXXXX,Added: 3 weeks ago,(Updated: 4 days ago),N/A,N/A
Sample Location Name,8 Marla,7.0,7.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,11 Marla,4.0,6.0,XXXXX,Added: 3 weeks ago,(Updated: 4 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 3 weeks ago,(Updated: 5 days ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,6 Marla,4.0,6.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,1 Kanal,8.0,7.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,8 Marla,6.0,6.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,7 Marla,6.0,6.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6 Marla,6.0,6.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,8 Marla,3.0,3.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,8 Marla,6.0,6.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6 Marla,2.0,3.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6 Marla,3.0,4.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,9 Marla,6.0,6.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6 Marla,4.0,6.0,XXXXX,Added: 4 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 5 days ago,(Updated: 5 hours ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 5 days ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 5 days ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,6 Marla,4.0,6.0,XXXXX,Added: 5 days ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,8 Marla,7.0,6.0,XXXXX,Added: 5 days ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,6 Marla,5.0,6.0,XXXXX,Added: 5 days ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,6 Marla,4.0,6.0,XXXXX,Added: 5 days ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 5 days ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,2.0,3.0,XXXXX,Added: 5 days ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 5 days ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 5 days ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 5 days ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 5 days ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 5 days ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 5 days ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,2.0,2.0,XXXXX,Added: 5 days ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,6 Marla,2.0,2.0,XXXXX,Added: 5 days ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 5 days ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,2.0,2.0,XXXXX,Added: 6 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,8 Marla,6.0,6.0,XXXXX,Added: 1 week ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,10 Marla,10.0,6.0,XXXXX,Added: 1 week ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6.7 Marla,5.0,6.0,XXXXX,Added: 1 week ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,1 Kanal,10.0,6.0,XXXXX,Added: 1 week ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 1 week ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5.6 Marla,3.0,3.0,XXXXX,Added: 6 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,2.0,2.0,XXXXX,Added: 5 days ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 5 days ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,12 Marla,6.0,6.0,XXXXX,Added: 6 days ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6 Marla,5.0,6.0,XXXXX,Added: 1 week ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 1 week ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,6 Marla,4.0,4.0,XXXXX,Added: 1 week ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,6 Marla,4.0,4.0,XXXXX,Added: 1 week ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 1 week ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 1 week ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 1 week ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 1 week ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,11 Marla,6.0,6.0,XXXXX,Added: 1 week ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 1 week ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 1 week ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6 Marla,4.0,6.0,XXXXX,Added: 1 week ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,1 Kanal,7.0,6.0,XXXXX,Added: 1 week ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 1 week ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 1 week ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5.6 Marla,4.0,,XXXXX,Added: 1 week ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,8 Marla,5.0,5.0,XXXXX,Added: 1 week ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,3 Marla,8.0,5.0,XXXXX,Added: 1 week ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,12.4 Marla,8.0,6.0,XXXXX,Added: 1 week ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,11 Marla,6.0,6.0,XXXXX,Added: 1 week ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,6.0,XXXXX,Added: 1 week ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,6 Marla,4.0,4.0,XXXXX,Added: 1 week ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,12 Marla,6.0,6.0,XXXXX,Added: 1 week ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,2.0,2.0,XXXXX,Added: 1 week ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 1 week ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,5.6 Marla,4.0,5.0,XXXXX,Added: 1 week ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5.6 Marla,3.0,4.0,XXXXX,Added: 1 week ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6.7 Marla,4.0,5.0,XXXXX,Added: 1 week ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5.6 Marla,3.0,4.0,XXXXX,Added: 1 week ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6.7 Marla,3.0,3.0,XXXXX,Added: 1 week ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6 Marla,5.0,6.0,XXXXX,Added: 2 weeks ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 1 week ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,2.0,3.0,XXXXX,Added: 1 week ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,12.4 Marla,8.0,6.0,XXXXX,Added: 1 week ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,6 Marla,4.0,4.0,XXXXX,Added: 1 week ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 1 week ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 1 week ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,1 Kanal,6.0,6.0,XXXXX,Added: 1 week ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,1 Kanal,8.0,6.0,XXXXX,Added: 2 weeks ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 2 weeks ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,10 Marla,8.0,6.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5.6 Marla,5.0,5.0,XXXXX,Added: 2 weeks ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,14 Marla,7.0,6.0,XXXXX,Added: 2 weeks ago,(Updated: 21 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,6.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,8 Marla,7.0,7.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,8.0,6.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,6.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,6 Marla,4.0,4.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,2.0,2.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,6 Marla,3.0,4.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,6 Marla,5.0,6.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,4 Marla,,,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
